School,Major Name,Popularity,Mean Federal Loan Debt,Top Careers
Stanford University,Area Studies.,0,,NA
Stanford University,"Ethnic, Cultural Minority, Gender, and Group Studies.",0,9387,NA
Stanford University,Communication and Media Studies.,0,,NA
Stanford University,"Public Relations, Advertising, and Applied Communication.",0,,NA
Stanford University,Computer Science.,0,15013,NA
Stanford University,Biomedical/Medical Engineering.,0,,NA
Stanford University,Chemical Engineering.,0,14086,NA
Stanford University,Civil Engineering.,0,,NA
Stanford University,"Electrical, Electronics and Communications Engineering.",0,13682,NA
Stanford University,Environmental/Environmental Health Engineering.,0,,NA
Stanford University,Materials Engineering,0,,NA
Stanford University,Mechanical Engineering.,0,17594,NA
Stanford University,Petroleum Engineering.,0,,NA
Stanford University,"Engineering, Other.",0,15254,NA
Stanford University,Engineering-Related Fields.,0,14113,NA
Stanford University,"Linguistic, Comparative, and Related Language Studies and Services.",0,,NA
Stanford University,"East Asian Languages, Literatures, and Linguistics.",0,,NA
Stanford University,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",0,,NA
Stanford University,"Germanic Languages, Literatures, and Linguistics.",0,,NA
Stanford University,"Romance Languages, Literatures, and Linguistics.",0,,NA
Stanford University,"Classics and Classical Languages, Literatures, and Linguistics.",0,,NA
Stanford University,"English Language and Literature, General.",0,12262,NA
Stanford University,"English Language and Literature/Letters, Other.",0,,NA
Stanford University,"Liberal Arts and Sciences, General Studies and Humanities.",0,,NA
Stanford University,"Biology, General.",0,13024,NA
Stanford University,Mathematics.,0,,NA
Stanford University,Applied Mathematics.,0,,NA
Stanford University,"Science, Technology and Society.",0,12573,NA
Stanford University,Cognitive Science.,0,12060,NA
Stanford University,Human Biology.,0,12473,NA
Stanford University,"Multi/Interdisciplinary Studies, Other.",0,,NA
Stanford University,Philosophy.,0,,NA
Stanford University,Religion/Religious Studies.,0,,NA
Stanford University,"Philosophy and Religious Studies, Other.",0,,NA
Stanford University,Chemistry.,0,,NA
Stanford University,Geological and Earth Sciences/Geosciences.,0,,NA
Stanford University,Physics.,0,,NA
Stanford University,"Psychology, General.",0,16145,NA
Stanford University,Public Policy Analysis.,0,,NA
Stanford University,Anthropology.,0,,NA
Stanford University,Archeology.,0,,NA
Stanford University,Economics.,0,13848,NA
Stanford University,International Relations and National Security Studies.,0,10370,NA
Stanford University,Political Science and Government.,0,13377,NA
Stanford University,Sociology.,0,,NA
Stanford University,Urban Studies/Affairs.,0,,NA
Stanford University,Drama/Theatre Arts and Stagecraft.,0,,NA
Stanford University,Film/Video and Photographic Arts.,0,,NA
Stanford University,Fine and Studio Arts.,0,,NA
Stanford University,Music.,0,,NA
Stanford University,Public Health.,0,,NA
Stanford University,History.,0,16056,NA
Harvard University,Natural Resources Conservation and Research.,0,,NA
Harvard University,Area Studies.,0,,NA
Harvard University,"Ethnic, Cultural Minority, Gender, and Group Studies.",0,,NA
Harvard University,Computer Science.,0,,NA
Harvard University,Biomedical/Medical Engineering.,0,,NA
Harvard University,"Electrical, Electronics and Communications Engineering.",0,,NA
