name,csc_name,nch_name,cpx_name,cdt_name
Stanford University,243744,stanford-university,stanford-university,Stanford-University
Harvard University,166027,harvard-university,harvard-college,Harvard-College
Yale University,130794,yale-university,yale-university,Yale-University
Columbia University,190150,columbia-university,columbia-university-in-the-city-of-new-york,Columbia-University
Princeton University,186131,princeton-university,princeton-university,Princeton-University
University of Pennsylvania,215062,university-of-pennsylvania,university-of-pennsylvania,University-of-Pennsylvania
Massachusetts Institute of Technology,166683,massachusetts-institute-of-technology,massachusetts-institute-of-technology,Massachusetts-Institute-of-Technology
University of California - Berkeley,110635,university-of-california---berkeley,uc-berkeley,University-of-California-Berkeley
University of California - Los Angeles,110662,university-of-california---los-angeles,ucla,University-of-California-Los-Angeles
Brown University,217156,brown-university,brown-university,Brown-University
Duke University,198419,duke-university,duke-university,Duke-University
New York University,193900,new-york-university,new-york-university,New-York-University
Cornell University,190415,cornell-university,cornell-university,Cornell-University
University of Southern California,123961,university-of-southern-california,university-of-southern-california,University-of-Southern-California
University of Michigan - Ann Arbor,170976,university-of-michigan---ann-arbor,university-of-michigan-ann-arbor,University-of-Michigan
University of Chicago,144050,university-of-chicago,the-university-of-chicago,University-of-Chicago
Johns Hopkins University,162928,johns-hopkins-university,johns-hopkins-university,Johns-Hopkins-University
Dartmouth College,182670,dartmouth-college,dartmouth-college,Dartmouth-College
Northwestern University,147767,northwestern-university,northwestern-university,Northwestern-University
California Institute of Technology,110404,california-institute-of-technology,california-institute-of-technology,California-Institute-of-Technology
Vanderbilt University,221999,vanderbilt-university,vanderbilt-university,Vanderbilt-University
Rice University,227757,rice-university,rice-university,Rice-University
Georgetown University,131496,georgetown-university,georgetown-university,Georgetown-University
Washington University in St. Louis,179867,washington-university-in-st-louis,washington-university-in-st-louis,Washington-University-in-St-Louis
University of Texas at Austin,228778,university-of-texas---austin,the-university-of-texas-at-austin,University-of-Texas-at-Austin
Carnegie Mellon University,211440,carnegie-mellon-university,carnegie-mellon-university,Carnegie-Mellon-University
Georgia Institute of Technology,139755,georgia-institute-of-technology,georgia-institute-of-technology-main-campus,Georgia-Institute-of-Technology
Boston University,164988,boston-university,boston-university,Boston-University
Northeastern University,167358,northeastern-university,northeastern-university,Northeastern-University
University of North Carolina - Chapel Hill,199120,university-of-north-carolina-at-chapel-hill,university-of-north-carolina-at-chapel-hill,University-of-North-Carolina-at-Chapel-Hill
Boston College,164924,boston-college,boston-college,Boston-College
